provider_symbol,missing_pair_count,missing_session_mask_hex
600712.SH,21,1fffff
600713.SH,21,1fffff
600714.SH,21,1fffff
600715.SH,21,1fffff
600716.SH,21,1fffff
600717.SH,21,1fffff
600718.SH,21,1fffff
600719.SH,21,1fffff
600720.SH,21,1fffff
600721.SH,21,1fffff
600722.SH,21,1fffff
600724.SH,21,1fffff
600725.SH,21,1fffff
600726.SH,21,1fffff
600727.SH,21,1fffff
600728.SH,21,1fffff
600729.SH,21,1fffff
600730.SH,21,1fffff
600731.SH,21,1fffff
600732.SH,21,1fffff
600733.SH,21,1fffff
600734.SH,21,1fffff
600735.SH,21,1fffff
600736.SH,21,1fffff
600737.SH,21,1fffff
600738.SH,21,1fffff
600739.SH,21,1fffff
600740.SH,21,1fffff
600741.SH,21,1fffff
600742.SH,21,1fffff
600743.SH,21,1fffff
600744.SH,21,1fffff
600745.SH,21,1fffff
600746.SH,21,1fffff
600748.SH,21,1fffff
600749.SH,21,1fffff
600750.SH,21,1fffff
600751.SH,21,1fffff
600753.SH,21,1fffff
600754.SH,21,1fffff
600755.SH,21,1fffff
600756.SH,21,1fffff
600757.SH,21,1fffff
600758.SH,21,1fffff
600759.SH,21,1fffff
600760.SH,21,1fffff
600761.SH,21,1fffff
600763.SH,21,1fffff
600764.SH,21,1fffff
600765.SH,21,1fffff
600766.SH,20,1ffeff
600767.SH,21,1fffff
600768.SH,21,1fffff
600769.SH,21,1fffff
600770.SH,21,1fffff
600771.SH,21,1fffff
600773.SH,21,1fffff
600774.SH,21,1fffff
600775.SH,21,1fffff
600776.SH,21,1fffff
600777.SH,21,1fffff
600778.SH,21,1fffff
600779.SH,21,1fffff
600780.SH,21,1fffff
600781.SH,21,1fffff
600782.SH,21,1fffff
600783.SH,21,1fffff
600784.SH,21,1fffff
600785.SH,21,1fffff
600787.SH,21,1fffff
600789.SH,21,1fffff
600790.SH,21,1fffff
600791.SH,21,1fffff
600792.SH,21,1fffff
600793.SH,21,1fffff
600794.SH,21,1fffff
600795.SH,21,1fffff
600796.SH,21,1fffff
600797.SH,21,1fffff
600798.SH,21,1fffff
600800.SH,21,1fffff
600801.SH,21,1fffff
600802.SH,21,1fffff
600803.SH,21,1fffff
600804.SH,21,1fffff
600805.SH,21,1fffff
600807.SH,21,1fffff
600808.SH,21,1fffff
600809.SH,21,1fffff
600810.SH,21,1fffff
600811.SH,21,1fffff
600812.SH,21,1fffff
600814.SH,21,1fffff
600815.SH,21,1fffff
600816.SH,21,1fffff
600817.SH,21,1fffff
600818.SH,21,1fffff
600819.SH,21,1fffff
600820.SH,21,1fffff
600821.SH,21,1fffff
600822.SH,21,1fffff
600823.SH,21,1fffff
600824.SH,21,1fffff
600825.SH,21,1fffff
600826.SH,21,1fffff
600827.SH,21,1fffff
600828.SH,21,1fffff
600829.SH,21,1fffff
600830.SH,21,1fffff
600831.SH,21,1fffff
600833.SH,21,1fffff
600834.SH,21,1fffff
600835.SH,21,1fffff
600836.SH,21,1fffff
600837.SH,21,1fffff
600838.SH,21,1fffff
600839.SH,21,1fffff
600841.SH,21,1fffff
600843.SH,21,1fffff
600844.SH,21,1fffff
600845.SH,21,1fffff
600846.SH,21,1fffff
600847.SH,21,1fffff
600848.SH,21,1fffff
600850.SH,21,1fffff
600851.SH,21,1fffff
600853.SH,21,1fffff
600854.SH,21,1fffff
600855.SH,21,1fffff
600857.SH,21,1fffff
600858.SH,21,1fffff
600859.SH,21,1fffff
600860.SH,21,1fffff
600861.SH,21,1fffff
600862.SH,21,1fffff
600863.SH,21,1fffff
600864.SH,21,1fffff
600865.SH,21,1fffff
600866.SH,21,1fffff
600867.SH,21,1fffff
600868.SH,21,1fffff
600869.SH,21,1fffff
600871.SH,21,1fffff
600872.SH,21,1fffff
600873.SH,21,1fffff
600874.SH,21,1fffff
600875.SH,21,1fffff
600876.SH,21,1fffff
600877.SH,21,1fffff
600879.SH,21,1fffff
600880.SH,21,1fffff
600881.SH,21,1fffff
600882.SH,21,1fffff
600883.SH,21,1fffff
600884.SH,21,1fffff
600885.SH,21,1fffff
600886.SH,21,1fffff
600887.SH,21,1fffff
600888.SH,21,1fffff
600889.SH,21,1fffff
600892.SH,21,1fffff
600893.SH,21,1fffff
600894.SH,21,1fffff
600895.SH,21,1fffff
600897.SH,21,1fffff
600898.SH,21,1fffff
600900.SH,21,1fffff
600901.SH,21,1fffff
600903.SH,21,1fffff
600905.SH,21,1fffff
600906.SH,21,1fffff
600908.SH,21,1fffff
600909.SH,21,1fffff
600916.SH,21,1fffff
600917.SH,21,1fffff
600918.SH,21,1fffff
600919.SH,21,1fffff
600926.SH,21,1fffff
600927.SH,21,1fffff
600928.SH,21,1fffff
600929.SH,21,1fffff
600933.SH,21,1fffff
600935.SH,21,1fffff
600936.SH,21,1fffff
600938.SH,21,1fffff
600939.SH,21,1fffff
600941.SH,21,1fffff
600955.SH,21,1fffff
600956.SH,21,1fffff
600958.SH,21,1fffff
600959.SH,21,1fffff
600960.SH,21,1fffff
600961.SH,21,1fffff
600962.SH,21,1fffff
600963.SH,21,1fffff
600965.SH,21,1fffff
600966.SH,21,1fffff
600967.SH,21,1fffff
600968.SH,21,1fffff
600969.SH,21,1fffff
600970.SH,21,1fffff
600971.SH,21,1fffff
600973.SH,21,1fffff
600975.SH,21,1fffff
600976.SH,21,1fffff
600977.SH,21,1fffff
600979.SH,21,1fffff
600980.SH,21,1fffff
600981.SH,21,1fffff
600982.SH,21,1fffff
600983.SH,21,1fffff
600984.SH,21,1fffff
600985.SH,21,1fffff
600986.SH,21,1fffff
600987.SH,21,1fffff
600988.SH,21,1fffff
600989.SH,21,1fffff
600990.SH,21,1fffff
600992.SH,21,1fffff
600993.SH,21,1fffff
600995.SH,21,1fffff
600996.SH,21,1fffff
600997.SH,21,1fffff
600998.SH,21,1fffff
600999.SH,21,1fffff
601000.SH,21,1fffff
601001.SH,21,1fffff
601002.SH,21,1fffff
601003.SH,21,1fffff
601005.SH,21,1fffff
601006.SH,21,1fffff
601007.SH,21,1fffff
601008.SH,21,1fffff
601009.SH,21,1fffff
601010.SH,21,1fffff
601011.SH,21,1fffff
601012.SH,21,1fffff
601015.SH,21,1fffff
601016.SH,21,1fffff
601018.SH,21,1fffff
601019.SH,21,1fffff
601020.SH,21,1fffff
601021.SH,21,1fffff
601028.SH,21,1fffff
601038.SH,21,1fffff
601058.SH,21,1fffff
601066.SH,21,1fffff
601068.SH,21,1fffff
601069.SH,21,1fffff
601077.SH,21,1fffff
601086.SH,21,1fffff
601088.SH,21,1fffff
601089.SH,21,1fffff
601098.SH,21,1fffff
601099.SH,21,1fffff
601100.SH,21,1fffff
601101.SH,21,1fffff
601106.SH,21,1fffff
601107.SH,21,1fffff
601108.SH,21,1fffff
601111.SH,21,1fffff
601113.SH,21,1fffff
601116.SH,21,1fffff
601117.SH,21,1fffff
601118.SH,21,1fffff
601126.SH,21,1fffff
601127.SH,21,1fffff
601128.SH,21,1fffff
601137.SH,21,1fffff
601138.SH,21,1fffff
601139.SH,21,1fffff
601155.SH,21,1fffff
601156.SH,21,1fffff
601158.SH,21,1fffff
601162.SH,21,1fffff
601163.SH,21,1fffff
601166.SH,21,1fffff
601168.SH,21,1fffff
601169.SH,21,1fffff
601177.SH,21,1fffff
601179.SH,21,1fffff
601186.SH,21,1fffff
601187.SH,21,1fffff
601188.SH,21,1fffff
601198.SH,21,1fffff
601199.SH,21,1fffff
601200.SH,21,1fffff
601208.SH,21,1fffff
601211.SH,21,1fffff
601212.SH,21,1fffff
601216.SH,21,1fffff
601218.SH,21,1fffff
601222.SH,21,1fffff
601225.SH,21,1fffff
601226.SH,21,1fffff
601228.SH,21,1fffff
601229.SH,21,1fffff
601231.SH,21,1fffff
601233.SH,21,1fffff
601236.SH,21,1fffff
601238.SH,21,1fffff
601258.SH,21,1fffff
601279.SH,21,1fffff
601288.SH,21,1fffff
601298.SH,21,1fffff
601311.SH,21,1fffff
601318.SH,21,1fffff
601319.SH,21,1fffff
601326.SH,21,1fffff
601328.SH,21,1fffff
601330.SH,21,1fffff
601333.SH,21,1fffff
601336.SH,21,1fffff
601339.SH,21,1fffff
601360.SH,21,1fffff
601366.SH,21,1fffff
601368.SH,21,1fffff
601369.SH,21,1fffff
601375.SH,21,1fffff
601377.SH,21,1fffff
601388.SH,21,1fffff
601390.SH,21,1fffff
601398.SH,21,1fffff
601399.SH,21,1fffff
601456.SH,21,1fffff
601500.SH,21,1fffff
601512.SH,21,1fffff
601515.SH,21,1fffff
601518.SH,21,1fffff
601519.SH,21,1fffff
601528.SH,21,1fffff
601555.SH,21,1fffff
601566.SH,21,1fffff
601567.SH,21,1fffff
601568.SH,21,1fffff
601577.SH,21,1fffff
601579.SH,21,1fffff
601588.SH,21,1fffff
601595.SH,21,1fffff
601598.SH,21,1fffff
601599.SH,21,1fffff
601600.SH,21,1fffff
601601.SH,21,1fffff
601606.SH,21,1fffff
601607.SH,21,1fffff
601608.SH,21,1fffff
601609.SH,21,1fffff
601611.SH,21,1fffff
601615.SH,21,1fffff
601616.SH,21,1fffff
601618.SH,21,1fffff
601619.SH,21,1fffff
601628.SH,21,1fffff
601633.SH,21,1fffff
601636.SH,21,1fffff
601658.SH,21,1fffff
601665.SH,21,1fffff
601666.SH,21,1fffff
601668.SH,21,1fffff
601669.SH,21,1fffff
601677.SH,21,1fffff
601678.SH,21,1fffff
601686.SH,21,1fffff
601688.SH,21,1fffff
601689.SH,21,1fffff
601696.SH,21,1fffff
601698.SH,21,1fffff
601699.SH,21,1fffff
601700.SH,21,1fffff
601702.SH,21,1fffff
601717.SH,21,1fffff
601718.SH,21,1fffff
601727.SH,21,1fffff
601728.SH,21,1fffff
601766.SH,21,1fffff
601777.SH,21,1fffff
601778.SH,21,1fffff
601788.SH,21,1fffff
601789.SH,21,1fffff
601798.SH,21,1fffff
601799.SH,21,1fffff
601800.SH,21,1fffff
601801.SH,21,1fffff
601808.SH,21,1fffff
601811.SH,21,1fffff
601816.SH,21,1fffff
601818.SH,21,1fffff
601825.SH,21,1fffff
601827.SH,21,1fffff
601828.SH,21,1fffff
601838.SH,21,1fffff
601857.SH,21,1fffff
601858.SH,21,1fffff
601860.SH,21,1fffff
601865.SH,21,1fffff
601866.SH,21,1fffff
601868.SH,21,1fffff
601869.SH,21,1fffff
601872.SH,21,1fffff
601877.SH,21,1fffff
601878.SH,21,1fffff
601880.SH,21,1fffff
601881.SH,21,1fffff
601882.SH,21,1fffff
601886.SH,21,1fffff
601888.SH,21,1fffff
601890.SH,21,1fffff
601898.SH,21,1fffff
601899.SH,21,1fffff
601900.SH,21,1fffff
601901.SH,21,1fffff
601908.SH,21,1fffff
601916.SH,21,1fffff
601918.SH,21,1fffff
601919.SH,21,1fffff
601921.SH,21,1fffff
601928.SH,21,1fffff
601929.SH,21,1fffff
601933.SH,21,1fffff
601939.SH,21,1fffff
601949.SH,21,1fffff
601952.SH,21,1fffff
601956.SH,21,1fffff
601958.SH,21,1fffff
601963.SH,21,1fffff
601965.SH,21,1fffff
601966.SH,21,1fffff
601968.SH,21,1fffff
601969.SH,21,1fffff
601975.SH,21,1fffff
601985.SH,21,1fffff
601988.SH,21,1fffff
601989.SH,21,1fffff
601990.SH,21,1fffff
601991.SH,21,1fffff
601992.SH,21,1fffff
601995.SH,21,1fffff
601996.SH,21,1fffff
601997.SH,21,1fffff
601998.SH,21,1fffff
601999.SH,21,1fffff
603000.SH,21,1fffff
603001.SH,21,1fffff
603002.SH,21,1fffff
603003.SH,21,1fffff
603005.SH,21,1fffff
603006.SH,21,1fffff
603007.SH,21,1fffff
603008.SH,21,1fffff
603009.SH,21,1fffff
603010.SH,21,1fffff
603011.SH,21,1fffff
603012.SH,21,1fffff
603013.SH,21,1fffff
603015.SH,21,1fffff
603016.SH,21,1fffff
603017.SH,21,1fffff
603018.SH,21,1fffff
603019.SH,21,1fffff
603020.SH,21,1fffff
603021.SH,21,1fffff
603022.SH,21,1fffff
603023.SH,21,1fffff
603025.SH,21,1fffff
603026.SH,21,1fffff
603027.SH,21,1fffff
603028.SH,21,1fffff
603029.SH,21,1fffff
603030.SH,21,1fffff
603031.SH,21,1fffff
603032.SH,21,1fffff
603033.SH,21,1fffff
603035.SH,21,1fffff
603036.SH,21,1fffff
603037.SH,21,1fffff
603038.SH,21,1fffff
603039.SH,21,1fffff
603040.SH,21,1fffff
603041.SH,21,1fffff
603042.SH,21,1fffff
603043.SH,21,1fffff
603045.SH,21,1fffff
603048.SH,21,1fffff
603050.SH,21,1fffff
603051.SH,21,1fffff
603053.SH,21,1fffff
603055.SH,21,1fffff
603056.SH,20,1ffffe
603057.SH,5,1f0000
603058.SH,21,1fffff
603059.SH,21,1fffff
603060.SH,21,1fffff
603063.SH,21,1fffff
603066.SH,21,1fffff
603067.SH,21,1fffff
603068.SH,21,1fffff
603069.SH,21,1fffff
603070.SH,21,1fffff
603071.SH,21,1fffff
603076.SH,21,1fffff
603077.SH,21,1fffff
603078.SH,21,1fffff
603079.SH,21,1fffff
603080.SH,21,1fffff
603081.SH,21,1fffff
603083.SH,21,1fffff
603085.SH,21,1fffff
603086.SH,21,1fffff
603087.SH,21,1fffff
603088.SH,21,1fffff
603089.SH,21,1fffff
603090.SH,21,1fffff
603093.SH,21,1fffff
603095.SH,21,1fffff
603096.SH,21,1fffff
603097.SH,21,1fffff
603098.SH,21,1fffff
603099.SH,21,1fffff
603100.SH,21,1fffff
603101.SH,21,1fffff
603102.SH,21,1fffff
603103.SH,21,1fffff
603105.SH,21,1fffff
603106.SH,21,1fffff
603108.SH,21,1fffff
603109.SH,21,1fffff
603110.SH,21,1fffff
603111.SH,21,1fffff
603112.SH,21,1fffff
603113.SH,21,1fffff
603115.SH,21,1fffff
603116.SH,21,1fffff
603117.SH,21,1fffff
603118.SH,21,1fffff
603121.SH,21,1fffff
603122.SH,21,1fffff
603123.SH,21,1fffff
603126.SH,21,1fffff
603127.SH,21,1fffff
603128.SH,21,1fffff
603129.SH,21,1fffff
603131.SH,21,1fffff
603132.SH,21,1fffff
603133.SH,21,1fffff
603136.SH,21,1fffff
603138.SH,21,1fffff
603139.SH,21,1fffff
603150.SH,21,1fffff
603155.SH,21,1fffff
603156.SH,21,1fffff
603158.SH,21,1fffff
603159.SH,21,1fffff
603160.SH,21,1fffff
603161.SH,21,1fffff
603165.SH,21,1fffff
603166.SH,21,1fffff
603167.SH,21,1fffff
603168.SH,21,1fffff
603169.SH,21,1fffff
603170.SH,21,1fffff
603171.SH,21,1fffff
603176.SH,21,1fffff
603177.SH,21,1fffff
603178.SH,21,1fffff
603179.SH,21,1fffff
603180.SH,21,1fffff
603181.SH,21,1fffff
603182.SH,15,1fffc0
603183.SH,21,1fffff
603185.SH,21,1fffff
603186.SH,21,1fffff
603187.SH,21,1fffff
603188.SH,21,1fffff
603189.SH,21,1fffff
603191.SH,21,1fffff
603192.SH,21,1fffff
603195.SH,21,1fffff
603196.SH,21,1fffff
603197.SH,21,1fffff
603198.SH,21,1fffff
603199.SH,21,1fffff
603200.SH,21,1fffff
603201.SH,21,1fffff
603203.SH,21,1fffff
603206.SH,21,1fffff
603208.SH,21,1fffff
603209.SH,21,1fffff
603211.SH,21,1fffff
603212.SH,21,1fffff
603213.SH,21,1fffff
603214.SH,21,1fffff
603215.SH,21,1fffff
603216.SH,21,1fffff
603217.SH,21,1fffff
603218.SH,21,1fffff
603219.SH,21,1fffff
603220.SH,21,1fffff
603221.SH,21,1fffff
603222.SH,21,1fffff
603223.SH,21,1fffff
603225.SH,21,1fffff
603226.SH,21,1fffff
603227.SH,21,1fffff
603228.SH,21,1fffff
603229.SH,21,1fffff
603230.SH,21,1fffff
603232.SH,21,1fffff
603233.SH,21,1fffff
603235.SH,21,1fffff
603236.SH,21,1fffff
603237.SH,21,1fffff
603238.SH,21,1fffff
603239.SH,21,1fffff
603255.SH,21,1fffff
603256.SH,21,1fffff
603258.SH,21,1fffff
603259.SH,21,1fffff
603260.SH,21,1fffff
603261.SH,21,1fffff
603266.SH,21,1fffff
603267.SH,21,1fffff
603268.SH,21,1fffff
603269.SH,21,1fffff
603272.SH,21,1fffff
603277.SH,21,1fffff
603278.SH,21,1fffff
603279.SH,21,1fffff
603283.SH,21,1fffff
603286.SH,21,1fffff
603288.SH,21,1fffff
603289.SH,21,1fffff
603290.SH,21,1fffff
603297.SH,21,1fffff
603298.SH,21,1fffff
603299.SH,21,1fffff
603300.SH,21,1fffff
603301.SH,21,1fffff
603303.SH,21,1fffff
603305.SH,21,1fffff
603306.SH,21,1fffff
603308.SH,21,1fffff
603309.SH,21,1fffff
603311.SH,21,1fffff
603313.SH,21,1fffff
603315.SH,21,1fffff
603316.SH,21,1fffff
603317.SH,21,1fffff
603318.SH,21,1fffff
603319.SH,21,1fffff
603320.SH,21,1fffff
603321.SH,21,1fffff
603322.SH,21,1fffff
603323.SH,21,1fffff
603324.SH,21,1fffff
603326.SH,21,1fffff
603327.SH,21,1fffff
603328.SH,21,1fffff
603329.SH,21,1fffff
603330.SH,21,1fffff
603331.SH,21,1fffff
603332.SH,21,1fffff
603333.SH,21,1fffff
603335.SH,21,1fffff
603336.SH,21,1fffff
603337.SH,21,1fffff
603338.SH,21,1fffff
603339.SH,21,1fffff
603345.SH,21,1fffff
603348.SH,21,1fffff
603351.SH,21,1fffff
603353.SH,21,1fffff
603355.SH,21,1fffff
603356.SH,21,1fffff
603357.SH,21,1fffff
603358.SH,21,1fffff
603359.SH,21,1fffff
603360.SH,21,1fffff
603363.SH,21,1fffff
603365.SH,21,1fffff
603366.SH,21,1fffff
603367.SH,21,1fffff
603368.SH,21,1fffff
603369.SH,21,1fffff
603377.SH,21,1fffff
603378.SH,21,1fffff
603379.SH,21,1fffff
603380.SH,21,1fffff
603383.SH,21,1fffff
603385.SH,21,1fffff
603386.SH,21,1fffff
603387.SH,21,1fffff
603388.SH,21,1fffff
603389.SH,21,1fffff
603390.SH,21,1fffff
603392.SH,21,1fffff
603393.SH,21,1fffff
603396.SH,21,1fffff
603398.SH,21,1fffff
603399.SH,21,1fffff
603408.SH,21,1fffff
603416.SH,21,1fffff
603421.SH,21,1fffff
603429.SH,21,1fffff
603439.SH,21,1fffff
603444.SH,21,1fffff
603456.SH,21,1fffff
603458.SH,21,1fffff
603466.SH,21,1fffff
603477.SH,21,1fffff
603486.SH,21,1fffff
603488.SH,21,1fffff
603489.SH,21,1fffff
603496.SH,21,1fffff
603499.SH,21,1fffff
603500.SH,21,1fffff
603501.SH,21,1fffff
603505.SH,21,1fffff
603506.SH,21,1fffff
603507.SH,21,1fffff
603508.SH,21,1fffff
603511.SH,21,1fffff
603515.SH,21,1fffff
603516.SH,21,1fffff
603517.SH,21,1fffff
603518.SH,21,1fffff
603519.SH,21,1fffff
603520.SH,21,1fffff
603527.SH,21,1fffff
603528.SH,21,1fffff
603529.SH,21,1fffff
603530.SH,21,1fffff
603533.SH,21,1fffff
603535.SH,21,1fffff
603536.SH,21,1fffff
603538.SH,21,1fffff
603551.SH,21,1fffff
603555.SH,21,1fffff
603556.SH,21,1fffff
603557.SH,21,1fffff
603558.SH,21,1fffff
603559.SH,21,1fffff
603565.SH,21,1fffff
603566.SH,21,1fffff
603567.SH,21,1fffff
603568.SH,21,1fffff
603569.SH,21,1fffff
603577.SH,21,1fffff
603578.SH,21,1fffff
603579.SH,21,1fffff
603580.SH,21,1fffff
603583.SH,21,1fffff
603585.SH,21,1fffff
603586.SH,21,1fffff
603587.SH,21,1fffff
603588.SH,21,1fffff
603589.SH,21,1fffff
603590.SH,21,1fffff
603595.SH,21,1fffff
603596.SH,21,1fffff
603598.SH,21,1fffff
603599.SH,21,1fffff
603600.SH,21,1fffff
603601.SH,21,1fffff
603602.SH,21,1fffff
603603.SH,21,1fffff
603605.SH,21,1fffff
603606.SH,21,1fffff
603607.SH,21,1fffff
603608.SH,21,1fffff
603609.SH,21,1fffff
603610.SH,21,1fffff
603611.SH,21,1fffff
603612.SH,21,1fffff
603613.SH,21,1fffff
603615.SH,21,1fffff
603616.SH,21,1fffff
603617.SH,21,1fffff
603618.SH,21,1fffff
603619.SH,21,1fffff
603626.SH,21,1fffff
603628.SH,21,1fffff
603629.SH,21,1fffff
603630.SH,21,1fffff
603633.SH,21,1fffff
603636.SH,21,1fffff
603637.SH,21,1fffff
603638.SH,21,1fffff
603639.SH,21,1fffff
603648.SH,21,1fffff
603650.SH,21,1fffff
603655.SH,21,1fffff
603656.SH,21,1fffff
603657.SH,21,1fffff
603658.SH,21,1fffff
603659.SH,21,1fffff
603660.SH,21,1fffff
603661.SH,21,1fffff
603662.SH,21,1fffff
603663.SH,21,1fffff
603665.SH,21,1fffff
603666.SH,21,1fffff
603667.SH,21,1fffff
603668.SH,21,1fffff
603669.SH,21,1fffff
603676.SH,21,1fffff
603677.SH,21,1fffff
603678.SH,21,1fffff
603679.SH,21,1fffff
603680.SH,21,1fffff
603681.SH,21,1fffff
603682.SH,21,1fffff
603683.SH,21,1fffff
603685.SH,21,1fffff
603686.SH,21,1fffff
603687.SH,21,1fffff
603688.SH,21,1fffff
603689.SH,21,1fffff
603690.SH,21,1fffff
603693.SH,21,1fffff
603696.SH,21,1fffff
603697.SH,21,1fffff
603698.SH,21,1fffff
603699.SH,21,1fffff
603700.SH,21,1fffff
603701.SH,21,1fffff
603703.SH,21,1fffff
603706.SH,21,1fffff
603707.SH,21,1fffff
603708.SH,21,1fffff
603709.SH,21,1fffff
603711.SH,21,1fffff
603712.SH,21,1fffff
603713.SH,21,1fffff
603716.SH,21,1fffff
603717.SH,21,1fffff
603718.SH,21,1fffff
603719.SH,21,1fffff
603721.SH,21,1fffff
603722.SH,21,1fffff
603725.SH,21,1fffff
603726.SH,21,1fffff
603727.SH,21,1fffff
603728.SH,21,1fffff
603729.SH,21,1fffff
603730.SH,21,1fffff
603733.SH,21,1fffff
603737.SH,21,1fffff
603738.SH,21,1fffff
603739.SH,21,1fffff
603755.SH,21,1fffff
603757.SH,21,1fffff
603758.SH,21,1fffff
603759.SH,21,1fffff
603766.SH,21,1fffff
603767.SH,21,1fffff
603768.SH,21,1fffff
603773.SH,21,1fffff
603776.SH,21,1fffff
603777.SH,21,1fffff
603778.SH,21,1fffff
603779.SH,21,1fffff
603786.SH,21,1fffff
603787.SH,21,1fffff
603788.SH,21,1fffff
603789.SH,21,1fffff
603790.SH,21,1fffff
603797.SH,21,1fffff
603798.SH,21,1fffff
603799.SH,21,1fffff
603800.SH,21,1fffff
603801.SH,21,1fffff
603803.SH,21,1fffff
603806.SH,21,1fffff
603808.SH,21,1fffff
603809.SH,21,1fffff
603810.SH,21,1fffff
603811.SH,21,1fffff
603813.SH,21,1fffff
603815.SH,21,1fffff
603816.SH,21,1fffff
603817.SH,21,1fffff
603818.SH,21,1fffff
603819.SH,21,1fffff
603822.SH,21,1fffff
603823.SH,21,1fffff
603825.SH,21,1fffff
603826.SH,21,1fffff
603828.SH,21,1fffff
603829.SH,21,1fffff
603833.SH,21,1fffff
603836.SH,21,1fffff
603838.SH,21,1fffff
603839.SH,21,1fffff
603843.SH,21,1fffff
603848.SH,21,1fffff
603855.SH,21,1fffff
603856.SH,21,1fffff
603858.SH,21,1fffff
603859.SH,21,1fffff
603860.SH,21,1fffff
603861.SH,21,1fffff
603863.SH,21,1fffff
603866.SH,21,1fffff
603867.SH,21,1fffff
603868.SH,21,1fffff
603869.SH,21,1fffff
603871.SH,21,1fffff
603876.SH,21,1fffff
603877.SH,21,1fffff
603878.SH,21,1fffff
603879.SH,21,1fffff
603880.SH,21,1fffff
603881.SH,21,1fffff
603882.SH,21,1fffff
603883.SH,21,1fffff
603885.SH,21,1fffff
603886.SH,21,1fffff
603887.SH,21,1fffff
603888.SH,21,1fffff
603889.SH,21,1fffff
603890.SH,21,1fffff
603893.SH,21,1fffff
603895.SH,21,1fffff
603896.SH,21,1fffff
603897.SH,21,1fffff
603898.SH,21,1fffff
603899.SH,21,1fffff
603900.SH,21,1fffff
603901.SH,21,1fffff
603903.SH,21,1fffff
603906.SH,21,1fffff
603908.SH,21,1fffff
603909.SH,21,1fffff
603912.SH,21,1fffff
603915.SH,21,1fffff
603916.SH,21,1fffff
603917.SH,21,1fffff
603918.SH,21,1fffff
603919.SH,21,1fffff
603920.SH,21,1fffff
603922.SH,21,1fffff
603926.SH,21,1fffff
603927.SH,21,1fffff
603928.SH,21,1fffff
603929.SH,21,1fffff
603931.SH,21,1fffff
603933.SH,21,1fffff
603936.SH,21,1fffff
603937.SH,21,1fffff
603938.SH,21,1fffff
603939.SH,21,1fffff
603948.SH,21,1fffff
603949.SH,21,1fffff
603950.SH,21,1fffff
603955.SH,19,1fffe7
603956.SH,21,1fffff
603958.SH,21,1fffff
603959.SH,21,1fffff
603960.SH,21,1fffff
603963.SH,21,1fffff
603966.SH,21,1fffff
603967.SH,21,1fffff
603968.SH,21,1fffff
603969.SH,21,1fffff
603970.SH,21,1fffff
603976.SH,21,1fffff
603977.SH,21,1fffff
603978.SH,21,1fffff
603979.SH,21,1fffff
603980.SH,21,1fffff
603982.SH,21,1fffff
603983.SH,21,1fffff
603985.SH,21,1fffff
603986.SH,21,1fffff
